match_id,player1,player2,p1_momentum,p2_momentum,p1_turning_points,p2_turning_points
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0,0.35,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-1,0.35,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0,0.5249999999999999,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,1,0.7,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-1,0.5249999999999999,1,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,1,0.7,1,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3,0.875,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3,0.7,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,5,0.7,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,5,0.5249999999999999,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3,0.35,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3,0.35,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3,0.175,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3,0.175,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,1,0.175,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-1,0.175,1,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-1,0.35,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,1,0.5249999999999999,1,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3,0.7,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3,0.7,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,1,0.5249999999999999,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3,0.5249999999999999,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,5,0.5249999999999999,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3,0.35,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,1,0.175,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,1,0.0,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,1,0.0,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3,0.175,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3,0.35,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,1,0.35,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3,0.5249999999999999,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,5,0.7,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3,0.7,0,0
